SDD Version, SDDv1.0;
Software, TOPAS-nBio;
Author, Matthew Andriotty;
Simulation Details, Nucleus simulation;
Source, Monoenergetic source;
Source type, 1;
Incident particles, 10;
Mean particle energy, 0.500000;
Energy distribution, M, 0;
Particle fraction, 1.0;
Dose or fluence, 1, 1e-12;
Dose rate, 0.0;
Irradiation target, Nucleus;
Volumes, 0,5,5,5,0,0,0,1,4.65,4.65,4.65,0,0,0;
Chromosome sizes, 46,252.823,252.823,248.157,248.157,204.04,204.04,195.556,195.556,184.951,184.951,174.77,174.77,162.469,162.469,149.318,149.318,143.38,143.38,138.289,138.289,137.441,137.441,135.32,135.32,116.655,116.655,108.595,108.595,102.656,102.656,90.7788,90.7788,80.1738,80.1738,77.6286,77.6286,65.3268,65.3268,63.63,63.63,47.9346,47.9346,50.4798,50.4798,58.9638,158.227;
DNA Density, 14.4316;
Cell Cycle Phase, 0, 1;
DNA Structure, 0, 1;
In vitro / in vivo, 0;
Proliferation status, 1;
Microenvironment, 20, 0.01;
Damage definition, 1, 0, 10, 10, 17.5;
Time, 0.000000;
Damage and primary count, 1542, 10;
Data entries, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0;
Additional information, ;
***EndOfHeader***;

0, 4; 1.453312, 1.371206, -3.275355 / 1.453405, 1.371830, -3.275222 / 1.453220, 1.370583, -3.275488; 1, 1, 1, 0; 0.286579795683; 2, 1, 1; 0, 2, 0; 2, 1, 1 / 2, 2, 2 ;
0, 4; 1.379412, 1.354532, -3.164480 / 1.379706, 1.354565, -3.163883 / 1.379119, 1.354500, -3.165078; 1, 1, 1, 0; 0.286657680150; 0, 2, 0; 0, 2, 0; 2, 1, 1 / 2, 2, 0 / 2, 4, 0 / 2, 9, 0 / 2, 10, 1 / 3, 4, 0 ;
0, 4; 1.196179, 1.335546, -2.904347 / 1.197042, 1.335841, -2.903578 / 1.195316, 1.335251, -2.905116; 1, 1, 1, 0; 0.667342063545; 2, 1, 1; 0, 2, 0; 2, 1, 1 / 2, 3, 0 / 2, 4, 0 / 2, 8, 2 / 2, 9, 0 / 2, 10, 0 / 3, 1, 0 / 3, 5, 0 / 3, 6, 0 / 3, 10, 0 ;
0, 4; 1.187119, 1.335414, -2.891255 / 1.187401, 1.335769, -2.890150 / 1.186838, 1.335059, -2.892360; 1, 1, 1, 0; 0.667348550291; 2, 1, 1; 0, 2, 0; 2, 2, 0 / 3, 1, 1 / 3, 6, 3 / 3, 7, 0 ;
0, 4; 1.453372, 1.369340, -3.275753 / 1.453372, 1.369340, -3.275753 / 1.453372, 1.369340, -3.275753; 1, 1, 1, 0; 0.286579317088; 1, 0, 1; 0, 1, 0; 3, 1, 2 / 3, 9, 0 / 3, 10, 0 ;
0, 4; 1.450889, 1.372068, -3.281396 / 1.450889, 1.372068, -3.281396 / 1.450889, 1.372068, -3.281396; 1, 1, 1, 0; 0.286579463435; 1, 0, 1; 0, 1, 0; 3, 1, 2 ;
0, 4; 1.455738, 1.373460, -3.283519 / 1.455738, 1.373460, -3.283519 / 1.455738, 1.373460, -3.283519; 1, 1, 1, 0; 0.286579574185; 1, 0, 1; 0, 1, 0; 3, 1, 2 ;
0, 4; 1.456850, 1.377270, -3.277080 / 1.456850, 1.377270, -3.277080 / 1.456850, 1.377270, -3.277080; 1, 1, 1, 0; 0.286580203083; 1, 0, 1; 0, 1, 0; 2, 1, 2 ;
0, 4; 1.379892, 1.354597, -3.165352 / 1.380079, 1.354693, -3.165078 / 1.379706, 1.354500, -3.165626; 1, 1, 1, 0; 0.286657715748; 0, 2, 0; 0, 2, 0; 2, 1, 1 / 2, 3, 1 / 3, 3, 0 ;
0, 4; 1.368440, 1.352309, -3.157102 / 1.368440, 1.352309, -3.157102 / 1.368440, 1.352309, -3.157102; 1, 1, 1, 0; 0.286658297182; 1, 0, 1; 0, 1, 0; 3, 1, 2 / 3, 2, 0 ;
0, 4; 1.369292, 1.356155, -3.146047 / 1.369292, 1.356155, -3.146047 / 1.369292, 1.356155, -3.146047; 1, 1, 1, 0; 0.286665329764; 1, 0, 1; 0, 1, 0; 2, 1, 2 ;
0, 4; 1.367745, 1.352941, -3.146533 / 1.367745, 1.352941, -3.146533 / 1.367745, 1.352941, -3.146533; 1, 1, 1, 0; 0.286665397005; 1, 0, 1; 0, 1, 0; 2, 6, 0 / 2, 7, 0 / 2, 8, 0 / 3, 1, 2 ;
0, 4; 1.367271, 1.350220, -3.148684 / 1.368251, 1.350307, -3.147777 / 1.366291, 1.350133, -3.149591; 1, 1, 1, 0; 0.286665456335; 2, 1, 1; 0, 2, 1; 2, 1, 1 / 2, 3, 0 / 2, 4, 0 / 2, 8, 2 / 3, 3, 0 / 3, 6, 0 ;
0, 4; 1.194355, 1.338756, -2.904784 / 1.194355, 1.338756, -2.904784 / 1.194355, 1.338756, -2.904784; 1, 1, 1, 0; 0.667341604726; 1, 0, 1; 0, 1, 0; 3, 1, 2 ;
0, 4; 1.195766, 1.337942, -2.908307 / 1.195766, 1.337942, -2.908307 / 1.195766, 1.337942, -2.908307; 1, 1, 1, 0; 0.667341656145; 1, 0, 1; 0, 1, 0; 2, 1, 2 ;
0, 4; 1.192308, 1.334844, -2.902656 / 1.192308, 1.334844, -2.902656 / 1.192308, 1.334844, -2.902656; 1, 1, 1, 0; 0.667342016081; 1, 0, 1; 0, 1, 0; 3, 1, 2 / 3, 3, 0 ;
0, 4; 1.196669, 1.336244, -2.907811 / 1.196669, 1.336244, -2.907811 / 1.196669, 1.336244, -2.907811; 1, 1, 1, 0; 0.667342130785; 1, 0, 1; 0, 1, 0; 3, 1, 2 / 3, 2, 0 ;
0, 4; 1.190296, 1.336142, -2.888901 / 1.190296, 1.336142, -2.888901 / 1.190296, 1.336142, -2.888901; 1, 1, 1, 0; 0.667348617532; 0, 1, 0; 0, 1, 0; 2, 1, 1 ;
0, 4; 1.189146, 1.334510, -2.897827 / 1.189146, 1.334510, -2.897827 / 1.189146, 1.334510, -2.897827; 1, 1, 1, 0; 0.667348902316; 1, 0, 1; 0, 1, 0; 2, 9, 0 / 3, 1, 2 / 3, 3, 0 ;
0, 4; 1.174606, 1.332957, -2.874505 / 1.174606, 1.332957, -2.874505 / 1.174606, 1.332957, -2.874505; 1, 1, 1, 0; 0.667360792048; 0, 1, 0; 0, 1, 0; 2, 1, 1 / 2, 2, 0 / 2, 3, 0 / 2, 4, 0 / 3, 1, 0 / 3, 3, 0 / 3, 4, 0 ;
0, 4; 1.045120, 1.318079, -2.690094 / 1.045626, 1.318922, -2.689837 / 1.044614, 1.317236, -2.690351; 1, 2, 1, 0; 0.726007180938; 2, 2, 2; 0, 4, 1; 2, 2, 0 / 2, 3, 0 / 2, 4, 2 / 2, 6, 2 / 2, 9, 0 / 3, 1, 1 / 3, 5, 0 / 3, 6, 0 / 3, 7, 0 / 3, 8, 1 ;
0, 4; 1.014516, 1.314988, -2.647241 / 1.014777, 1.315233, -2.646837 / 1.014256, 1.314743, -2.647644; 1, 2, 1, 0; 0.725895828044; 2, 1, 2; 0, 3, 1; 2, 1, 2 / 2, 4, 0 / 2, 6, 0 / 2, 7, 0 / 3, 4, 1 / 3, 5, 2 ;
0, 4; 1.021501, 1.313750, -2.655820 / 1.021661, 1.313912, -2.655266 / 1.021342, 1.313587, -2.656374; 1, 2, 1, 0; 0.725887913700; 2, 1, 1; 0, 2, 1; 2, 1, 1 / 2, 7, 0 / 2, 8, 0 / 3, 7, 2 ;
0, 4; 1.020575, 1.313930, -2.660225 / 1.020829, 1.314363, -2.659442 / 1.020320, 1.313497, -2.661008; 1, 2, 1, 0; 0.725888010413; 0, 2, 0; 0, 2, 1; 2, 2, 0 / 2, 3, 1 / 3, 1, 1 ;
0, 4; 1.017614, 1.317580, -2.652138 / 1.017772, 1.318497, -2.651741 / 1.017456, 1.316663, -2.652535; 1, 2, 1, 0; 0.725888304581; 1, 0, 2; 0, 2, 1; 2, 6, 0 / 2, 8, 2 / 3, 1, 2 / 3, 9, 0 ;
0, 4; 1.018325, 1.316072, -2.652347 / 1.019194, 1.316663, -2.651741 / 1.017456, 1.315482, -2.652954; 1, 2, 1, 0; 0.725888332789; 2, 2, 1; 0, 3, 1; 2, 1, 2 / 2, 5, 1 / 2, 6, 1 / 2, 8, 0 / 3, 2, 0 / 3, 5, 0 / 3, 10, 0 ;
0, 4; 0.984982, 1.307980, -2.608037 / 0.984982, 1.307980, -2.608037 / 0.984982, 1.307980, -2.608037; 1, 2, 1, 0; 0.725385916980; 1, 0, 1; 0, 1, 0; 3, 1, 2 ;
0, 4; 0.986116, 1.310123, -2.611585 / 0.986116, 1.310123, -2.611585 / 0.986116, 1.310123, -2.611585; 1, 2, 1, 0; 0.725385973396; 1, 0, 1; 0, 1, 0; 2, 1, 2 ;
0, 4; 1.032760, 1.318104, -2.659045 / 1.032760, 1.318104, -2.659045 / 1.032760, 1.318104, -2.659045; 1, 2, 1, 0; 0.725887244768; 1, 0, 1; 0, 1, 0; 2, 1, 2 / 3, 4, 0 ;
0, 4; 1.021882, 1.315354, -2.653873 / 1.021882, 1.315354, -2.653873 / 1.021882, 1.315354, -2.653873; 1, 2, 1, 0; 0.725887873403; 0, 1, 0; 0, 1, 0; 2, 1, 1 / 3, 8, 0 / 3, 10, 0 ;
0, 4; 1.044007, 1.315957, -2.687491 / 1.044007, 1.315957, -2.687491 / 1.044007, 1.315957, -2.687491; 1, 2, 1, 0; 0.726006741700; 0, 1, 0; 0, 1, 0; 2, 10, 0 / 3, 1, 1 / 3, 2, 0 ;
0, 4; 0.577876, 1.186568, -2.006229 / 0.578429, 1.187191, -2.005778 / 0.577324, 1.185945, -2.006680; 1, 3, 1, 0; 0.681219091140; 2, 2, 2; 0, 4, 1; 2, 3, 2 / 3, 1, 2 / 3, 8, 1 / 3, 9, 1 ;
0, 4; 0.548281, 1.175562, -1.969071 / 0.548543, 1.176063, -1.968742 / 0.548019, 1.175062, -1.969401; 1, 3, 1, 0; 0.681237059603; 2, 2, 1; 0, 3, 1; 2, 3, 1 / 3, 1, 1 / 3, 2, 2 ;
0, 4; 0.807016, 1.261878, -2.333415 / 0.807639, 1.262299, -2.332981 / 0.806393, 1.261457, -2.333849; 1, 3, 1, 0; 0.385032475409; 2, 1, 1; 0, 2, 1; 2, 1, 1 / 2, 2, 0 / 2, 5, 0 / 2, 8, 0 / 2, 9, 0 / 3, 2, 0 / 3, 7, 2 ;
0, 4; 0.803902, 1.264804, -2.332231 / 0.804293, 1.265423, -2.331956 / 0.803511, 1.264185, -2.332506; 1, 3, 1, 0; 0.385039394416; 0, 2, 0; 0, 2, 1; 2, 8, 1 / 2, 9, 0 / 3, 1, 1 / 3, 4, 0 / 3, 5, 0 / 3, 6, 0 ;
0, 4; 0.569875, 1.184225, -1.996068 / 0.570705, 1.184530, -1.994914 / 0.569044, 1.183919, -1.997222; 1, 3, 1, 0; 0.681225994028; 2, 1, 1; 0, 2, 1; 2, 7, 0 / 2, 8, 0 / 2, 10, 2 / 3, 1, 1 / 3, 3, 0 ;
0, 4; 0.554537, 1.177480, -1.975207 / 0.554801, 1.177597, -1.974578 / 0.554274, 1.177362, -1.975835; 1, 3, 1, 0; 0.681236874237; 2, 1, 1; 0, 2, 1; 2, 1, 1 / 2, 2, 0 / 3, 7, 2 / 3, 10, 0 ;
0, 4; 0.577570, 1.185963, -2.006901 / 0.577668, 1.186256, -2.006674 / 0.577472, 1.185670, -2.007129; 1, 3, 1, 0; 0.681219119348; 0, 3, 0; 0, 3, 1; 2, 5, 0 / 2, 7, 1 / 3, 1, 1 / 3, 2, 1 / 3, 4, 0 ;
0, 4; 0.569678, 1.179081, -1.990511 / 0.569833, 1.179241, -1.989726 / 0.569523, 1.178922, -1.991296; 1, 3, 1, 0; 0.681226771761; 2, 1, 1; 0, 2, 0; 2, 4, 0 / 3, 1, 1 / 3, 7, 3 ;
0, 4; 0.545200, 1.174434, -1.962457 / 0.545216, 1.174480, -1.962281 / 0.545184, 1.174388, -1.962633; 1, 3, 1, 0; 0.681244409789; 2, 1, 1; 0, 2, 0; 2, 1, 2 / 2, 3, 1 / 3, 7, 0 ;
0, 4; 0.805095, 1.261309, -2.333955 / 0.806393, 1.261457, -2.333849 / 0.803797, 1.261161, -2.334060; 1, 3, 1, 0; 0.385032439141; 0, 2, 0; 0, 2, 1; 2, 1, 1 / 2, 9, 0 / 2, 10, 1 / 3, 8, 0 ;
0, 4; 0.808105, 1.262537, -2.333968 / 0.808571, 1.262774, -2.332981 / 0.807639, 1.262299, -2.334955; 1, 3, 1, 0; 0.385032499587; 2, 1, 1; 0, 2, 1; 2, 2, 0 / 2, 3, 0 / 3, 1, 2 / 3, 7, 1 ;
0, 4; 0.795791, 1.263632, -2.323599 / 0.795791, 1.263632, -2.323599 / 0.795791, 1.263632, -2.323599; 1, 3, 1, 0; 0.385038463553; 0, 1, 0; 0, 1, 0; 3, 1, 1 ;
0, 4; 0.804362, 1.262750, -2.331580 / 0.804362, 1.262750, -2.331580 / 0.804362, 1.262750, -2.331580; 1, 3, 1, 0; 0.385039475010; 1, 0, 1; 0, 1, 0; 2, 7, 0 / 3, 1, 2 / 3, 3, 0 ;
0, 4; 0.801600, 1.261531, -2.328330 / 0.801600, 1.261531, -2.328330 / 0.801600, 1.261531, -2.328330; 1, 3, 1, 0; 0.385039559634; 1, 0, 1; 0, 1, 0; 3, 1, 2 / 3, 2, 0 / 3, 3, 0 ;
0, 4; 0.805769, 1.260807, -2.329870 / 0.805769, 1.260807, -2.329870 / 0.805769, 1.260807, -2.329870; 1, 3, 1, 0; 0.385039990812; 0, 1, 0; 0, 1, 0; 2, 1, 1 ;
0, 4; 0.578451, 1.184830, -2.018843 / 0.578451, 1.184830, -2.018843 / 0.578451, 1.184830, -2.018843; 1, 3, 1, 0; 0.681211906172; 1, 0, 1; 0, 1, 0; 2, 1, 2 ;
0, 4; 0.573581, 1.187361, -2.000371 / 0.573581, 1.187361, -2.000371 / 0.573581, 1.187361, -2.000371; 1, 3, 1, 0; 0.681218482654; 1, 0, 1; 0, 1, 0; 2, 1, 2 ;
0, 4; 0.573638, 1.184806, -2.001746 / 0.573638, 1.184806, -2.001746 / 0.573638, 1.184806, -2.001746; 1, 3, 1, 0; 0.681218950100; 1, 0, 1; 0, 1, 0; 2, 1, 2 ;
0, 4; 0.567541, 1.186668, -1.991160 / 0.567541, 1.186668, -1.991160 / 0.567541, 1.186668, -1.991160; 1, 3, 1, 0; 0.681225603146; 1, 0, 1; 0, 1, 0; 3, 1, 2 ;
0, 4; 0.553836, 1.177855, -1.972684 / 0.553836, 1.177855, -1.972684 / 0.553836, 1.177855, -1.972684; 1, 3, 1, 0; 0.681236938712; 1, 0, 1; 0, 1, 0; 2, 1, 2 / 2, 7, 0 / 3, 5, 0 ;
0, 4; 0.547406, 1.173662, -1.972238 / 0.547406, 1.173662, -1.972238 / 0.547406, 1.173662, -1.972238; 1, 3, 1, 0; 0.681237116019; 1, 0, 1; 0, 1, 0; 3, 1, 2 ;
0, 4; -1.455253, 0.695290, -0.420783 / -1.455196, 0.695627, -0.420216 / -1.455309, 0.694954, -0.421351; 1, 9, 1, 0; 0.740069180411; 0, 2, 0; 0, 2, 1; 2, 1, 0 / 2, 2, 1 / 3, 1, 1 ;
0, 4; -1.436617, 0.702873, -0.446558 / -1.435952, 0.703109, -0.445661 / -1.437283, 0.702638, -0.447455; 1, 9, 1, 0; 0.740047401693; 2, 2, 1; 0, 3, 0; 2, 5, 0 / 2, 6, 0 / 3, 1, 1 / 3, 2, 0 / 3, 3, 0 / 3, 4, 0 / 3, 5, 1 / 3, 6, 2 ;
0, 4; -1.450992, 0.695751, -0.432776 / -1.450575, 0.696190, -0.431972 / -1.451409, 0.695312, -0.433581; 1, 9, 1, 0; 0.740058739819; 1, 0, 2; 0, 2, 0; 2, 9, 0 / 3, 1, 3 / 3, 10, 2 ;
0, 4; -1.453627, 0.694718, -0.428465 / -1.453348, 0.694828, -0.428247 / -1.453906, 0.694609, -0.428683; 1, 9, 1, 0; 0.740059312943; 2, 1, 1; 0, 2, 0; 2, 2, 0 / 3, 1, 1 / 3, 2, 3 / 3, 3, 0 ;
0, 4; -1.436921, 0.703071, -0.444713 / -1.436560, 0.703504, -0.443764 / -1.437283, 0.702638, -0.445661; 1, 9, 1, 0; 0.740047358438; 2, 1, 1; 0, 2, 0; 2, 3, 0 / 2, 5, 0 / 3, 1, 2 / 3, 9, 1 / 3, 10, 0 ;
0, 4; -1.445462, 0.698611, -0.437181 / -1.445462, 0.698611, -0.437181 / -1.445462, 0.698611, -0.437181; 1, 9, 1, 0; 0.740058090999; 0, 1, 0; 0, 1, 0; 2, 1, 1 / 3, 1, 0 / 3, 9, 0 / 3, 10, 0 ;
0, 4; -1.453184, 0.697417, -0.427795 / -1.453184, 0.697417, -0.427795 / -1.453184, 0.697417, -0.427795; 1, 9, 1, 0; 0.740059253468; 1, 0, 1; 0, 1, 0; 2, 1, 2 / 3, 9, 0 ;
0, 4; -1.453411, 0.694068, -0.431132 / -1.453411, 0.694068, -0.431132 / -1.453411, 0.694068, -0.431132; 1, 9, 1, 0; 0.740059372418; 0, 1, 0; 0, 1, 0; 3, 1, 1 / 3, 2, 0 ;
0, 4; 0.096470, 1.062176, -1.592405 / 0.097061, 1.062622, -1.591758 / 0.095880, 1.061730, -1.593052; 1, 10, 1, 0; 0.115565061361; 2, 3, 2; 0, 5, 1; 2, 1, 0 / 2, 3, 2 / 2, 4, 1 / 2, 5, 0 / 2, 6, 2 / 3, 1, 1 / 3, 2, 1 / 3, 3, 0 ;
0, 4; 0.088378, 1.059867, -1.586208 / 0.089034, 1.060011, -1.585689 / 0.087723, 1.059723, -1.586728; 1, 10, 1, 0; 0.115566365929; 2, 2, 2; 0, 4, 1; 2, 2, 1 / 2, 3, 2 / 2, 4, 0 / 2, 5, 0 / 2, 7, 0 / 2, 8, 0 / 2, 9, 0 / 3, 1, 1 / 3, 2, 2 / 3, 6, 0 ;
0, 4; -0.645450, 0.904337, -1.076587 / -0.644982, 0.904714, -1.075151 / -0.645918, 0.903959, -1.078022; 1, 10, 1, 0; 0.827589031095; 2, 1, 3; 0, 4, 1; 2, 1, 1 / 2, 10, 2 / 3, 1, 2 / 3, 4, 0 / 3, 5, 2 ;
0, 4; 0.324196, 1.117487, -1.764334 / 0.324555, 1.117534, -1.764159 / 0.323837, 1.117440, -1.764509; 1, 10, 1, 0; 0.111863107254; 0, 2, 0; 0, 2, 1; 2, 6, 1 / 3, 1, 1 ;
0, 4; 0.085669, 1.051219, -1.597887 / 0.085831, 1.051980, -1.597537 / 0.085508, 1.050458, -1.598237; 1, 10, 1, 0; 0.115557199617; 0, 2, 0; 0, 2, 1; 2, 1, 1 / 3, 5, 0 / 3, 6, 1 ;
0, 4; 0.132257, 1.071154, -1.619517 / 0.132337, 1.071505, -1.618966 / 0.132177, 1.070804, -1.620068; 1, 10, 1, 0; 0.116132308446; 1, 0, 2; 0, 2, 1; 2, 1, 2 / 2, 4, 0 / 2, 9, 0 / 2, 10, 0 / 3, 4, 0 / 3, 5, 0 / 3, 6, 2 ;
0, 4; 0.130555, 1.072002, -1.615333 / 0.131841, 1.072776, -1.614599 / 0.129269, 1.071229, -1.616068; 1, 10, 1, 0; 0.116142121320; 0, 2, 0; 0, 2, 1; 2, 10, 1 / 3, 1, 1 / 3, 8, 0 ;
0, 4; -0.119450, 1.009517, -1.438803 / -0.119057, 1.009650, -1.438517 / -0.119843, 1.009384, -1.439089; 1, 10, 1, 0; 0.283234151779; 0, 2, 0; 0, 2, 1; 2, 1, 1 / 3, 7, 1 ;
0, 4; 0.322399, 1.118080, -1.765449 / 0.322491, 1.118622, -1.765337 / 0.322307, 1.117538, -1.765560; 1, 10, 1, 0; 0.111863021427; 2, 1, 1; 0, 2, 0; 2, 1, 1 / 2, 2, 2 / 2, 6, 0 / 3, 5, 0 ;
0, 4; 0.328335, 1.118458, -1.765282 / 0.329190, 1.119138, -1.765095 / 0.327479, 1.117778, -1.765470; 1, 10, 1, 0; 0.111863816756; 2, 1, 1; 0, 2, 0; 2, 1, 1 / 2, 5, 2 / 2, 6, 0 / 3, 7, 0 ;
0, 4; 0.329383, 1.118454, -1.768140 / 0.329383, 1.118454, -1.768140 / 0.329383, 1.118454, -1.768140; 1, 10, 1, 0; 0.111853918055; 0, 1, 0; 0, 1, 0; 3, 1, 1 / 3, 5, 0 / 3, 6, 0 ;
0, 4; 0.316101, 1.115677, -1.757502 / 0.316101, 1.115677, -1.757502 / 0.316101, 1.115677, -1.757502; 1, 10, 1, 0; 0.111862529353; 0, 1, 0; 0, 1, 0; 2, 1, 1 ;
0, 4; 0.404656, 1.137677, -1.814958 / 0.404656, 1.137677, -1.814958 / 0.404656, 1.137677, -1.814958; 1, 10, 1, 0; 0.112768867039; 1, 0, 1; 0, 1, 0; 2, 1, 2 ;
0, 4; 0.085345, 1.052509, -1.597879 / 0.085508, 1.053038, -1.597537 / 0.085182, 1.051980, -1.598221; 1, 10, 1, 0; 0.115557228226; 0, 2, 0; 0, 2, 1; 3, 1, 1 / 3, 7, 1 ;
0, 4; 0.098772, 1.058809, -1.588321 / 0.098772, 1.058809, -1.588321 / 0.098772, 1.058809, -1.588321; 1, 10, 1, 0; 0.115564826767; 1, 0, 1; 0, 1, 0; 2, 1, 2 / 2, 10, 0 / 3, 2, 0 / 3, 3, 0 / 3, 5, 0 ;
0, 4; 0.095865, 1.061158, -1.591153 / 0.095880, 1.061754, -1.590503 / 0.095850, 1.060563, -1.591803; 1, 10, 1, 0; 0.115565009864; 2, 1, 1; 0, 2, 1; 2, 10, 0 / 3, 1, 2 / 3, 10, 1 ;
0, 4; 0.091888, 1.059334, -1.589585 / 0.091888, 1.059334, -1.589585 / 0.091888, 1.059334, -1.589585; 1, 10, 1, 0; 0.115565667871; 0, 1, 0; 0, 1, 0; 2, 1, 1 ;
0, 4; 0.091655, 1.063117, -1.591950 / 0.091655, 1.063117, -1.591950 / 0.091655, 1.063117, -1.591950; 1, 10, 1, 0; 0.115565799472; 0, 1, 0; 0, 1, 0; 2, 1, 1 / 3, 2, 0 ;
0, 4; 0.086250, 1.061210, -1.589533 / 0.086250, 1.061210, -1.589533 / 0.086250, 1.061210, -1.589533; 1, 10, 1, 0; 0.115566526139; 1, 0, 1; 0, 1, 0; 2, 1, 2 ;
0, 4; 0.130221, 1.070598, -1.618976 / 0.130221, 1.070598, -1.618976 / 0.130221, 1.070598, -1.618976; 1, 10, 1, 0; 0.116131616109; 1, 0, 1; 0, 1, 0; 2, 4, 0 / 3, 1, 2 / 3, 6, 0 / 3, 7, 0 / 3, 9, 0 ;
0, 4; 0.135168, 1.070995, -1.627468 / 0.135168, 1.070995, -1.627468 / 0.135168, 1.070995, -1.627468; 1, 10, 1, 0; 0.116132703250; 1, 0, 1; 0, 1, 0; 2, 1, 2 ;
0, 4; 0.136998, 1.068430, -1.626066 / 0.136998, 1.068430, -1.626066 / 0.136998, 1.068430, -1.626066; 1, 10, 1, 0; 0.116132829129; 1, 0, 1; 0, 1, 0; 2, 1, 2 ;
0, 4; 0.114731, 1.065789, -1.611671 / 0.114731, 1.065789, -1.611671 / 0.114731, 1.065789, -1.611671; 1, 10, 1, 0; 0.116140290347; 1, 0, 1; 0, 1, 0; 2, 4, 0 / 2, 5, 0 / 3, 1, 2 ;
0, 4; 0.124024, 1.069183, -1.615500 / 0.124024, 1.069183, -1.615500 / 0.124024, 1.069183, -1.615500; 1, 10, 1, 0; 0.116141366044; 1, 0, 1; 0, 1, 0; 2, 1, 2 ;
0, 4; 0.130797, 1.070586, -1.616136 / 0.131841, 1.071229, -1.616068 / 0.129752, 1.069944, -1.616203; 1, 10, 1, 0; 0.116142172816; 2, 1, 1; 0, 2, 1; 2, 1, 1 / 2, 4, 0 / 2, 5, 3 / 2, 6, 0 / 2, 8, 0 / 2, 9, 0 ;
0, 4; -0.243735, 0.980672, -1.354714 / -0.243735, 0.980672, -1.354714 / -0.243735, 0.980672, -1.354714; 1, 10, 1, 0; 0.282417611907; 0, 1, 0; 0, 1, 0; 2, 5, 0 / 2, 6, 0 / 3, 1, 1 / 3, 7, 0 / 3, 9, 0 / 3, 10, 0 ;
0, 4; -0.089993, 1.009382, -1.454427 / -0.089993, 1.009382, -1.454427 / -0.089993, 1.009382, -1.454427; 1, 10, 1, 0; 0.283204787538; 1, 0, 1; 0, 1, 0; 3, 1, 2 ;
0, 4; -0.090175, 1.016419, -1.459477 / -0.090175, 1.016419, -1.459477 / -0.090175, 1.016419, -1.459477; 1, 10, 1, 0; 0.283206406806; 1, 0, 1; 0, 1, 0; 3, 1, 3 ;
0, 4; -0.084760, 1.017538, -1.465469 / -0.084760, 1.017538, -1.465469 / -0.084760, 1.017538, -1.465469; 1, 10, 1, 0; 0.283206933211; 1, 0, 1; 0, 1, 0; 3, 1, 2 ;
0, 4; -0.088505, 1.022720, -1.458825 / -0.088505, 1.022720, -1.458825 / -0.088505, 1.022720, -1.458825; 1, 10, 1, 0; 0.283207333736; 0, 1, 0; 0, 1, 0; 2, 1, 1 / 3, 3, 0 ;
0, 4; -0.089315, 1.023791, -1.458074 / -0.089315, 1.023791, -1.458074 / -0.089315, 1.023791, -1.458074; 1, 10, 1, 0; 0.283208037517; 0, 1, 0; 0, 1, 0; 2, 1, 1 / 2, 3, 0 / 3, 4, 0 ;
0, 4; -0.099832, 1.013090, -1.451783 / -0.099832, 1.013090, -1.451783 / -0.099832, 1.013090, -1.451783; 1, 10, 1, 0; 0.283214926555; 1, 0, 1; 0, 1, 0; 2, 1, 0 / 3, 1, 2 / 3, 2, 0 ;
0, 4; -0.099866, 1.016364, -1.458429 / -0.099866, 1.016364, -1.458429 / -0.099866, 1.016364, -1.458429; 1, 10, 1, 0; 0.283216585875; 1, 0, 1; 0, 1, 0; 2, 1, 2 ;
0, 4; -0.107261, 1.011837, -1.448021 / -0.107261, 1.011837, -1.448021 / -0.107261, 1.011837, -1.448021; 1, 10, 1, 0; 0.283224384678; 1, 0, 1; 0, 1, 0; 3, 1, 2 ;
0, 4; -0.106307, 1.010340, -1.451153 / -0.106307, 1.010340, -1.451153 / -0.106307, 1.010340, -1.451153; 1, 10, 1, 0; 0.283225036963; 0, 1, 0; 0, 1, 0; 2, 1, 1 / 3, 5, 0 / 3, 9, 0 ;
0, 4; -0.121410, 1.009017, -1.437437 / -0.121410, 1.009017, -1.437437 / -0.121410, 1.009017, -1.437437; 1, 10, 1, 0; 0.283234088839; 0, 1, 0; 0, 1, 0; 2, 1, 1 / 2, 10, 0 / 3, 4, 0 ;
0, 4; -0.118356, 1.009586, -1.440595 / -0.118356, 1.009586, -1.440595 / -0.118356, 1.009586, -1.440595; 1, 10, 1, 0; 0.283234243327; 0, 1, 0; 0, 1, 0; 3, 1, 1 ;
0, 4; -0.117955, 1.009846, -1.445656 / -0.117955, 1.009846, -1.445656 / -0.117955, 1.009846, -1.445656; 1, 10, 1, 0; 0.283234443590; 1, 0, 1; 0, 1, 0; 2, 1, 2 ;
0, 4; -0.645450, 0.903686, -1.076894 / -0.644982, 0.904366, -1.075767 / -0.645918, 0.903006, -1.078022; 1, 10, 1, 0; 0.827589019651; 2, 1, 3; 0, 4, 1; 2, 1, 2 / 2, 3, 1 / 3, 3, 2 / 3, 6, 0 / 3, 7, 2 ;
0, 4; -0.651851, 0.902709, -1.071997 / -0.651851, 0.902709, -1.071997 / -0.651851, 0.902709, -1.071997; 1, 10, 1, 0; 0.827589477394; 1, 0, 1; 0, 1, 0; 2, 1, 2 / 3, 5, 0 / 3, 6, 0 / 3, 7, 0 / 3, 9, 0 ;
