SDD Version, SDDv1.0;
Software, TOPAS-nBio;
Author, Matthew Andriotty;
Simulation Details, Nucleus simulation;
Source, Monoenergetic source;
Source type, 1;
Incident particles, 10;
Mean particle energy, 0.500000;
Energy distribution, M, 0;
Particle fraction, 1.0;
Dose or fluence, 1, 1e-12;
Dose rate, 0.0;
Irradiation target, Nucleus;
Volumes, 0,5,5,5,0,0,0,1,4.65,4.65,4.65,0,0,0;
Chromosome sizes, 46,252.823,252.823,248.157,248.157,204.04,204.04,195.556,195.556,184.951,184.951,174.77,174.77,162.469,162.469,149.318,149.318,143.38,143.38,138.289,138.289,137.441,137.441,135.32,135.32,116.655,116.655,108.595,108.595,102.656,102.656,90.7788,90.7788,80.1738,80.1738,77.6286,77.6286,65.3268,65.3268,63.63,63.63,47.9346,47.9346,50.4798,50.4798,58.9638,158.227;
DNA Density, 14.4316;
Cell Cycle Phase, 0, 1;
DNA Structure, 0, 1;
In vitro / in vivo, 0;
Proliferation status, 1;
Microenvironment, 20, 0.01;
Damage definition, 1, 0, 10, 10, 17.5;
Time, 0.000000;
Damage and primary count, 1542, 10;
Data entries, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0;
Additional information, ;
***EndOfHeader***;

0, 0; -0.070140, 1.954708, -1.973763 / -0.069184, 1.955276, -1.973287 / -0.071095, 1.954140, -1.974239; 1, 3, 1, 0; 0.775621284106; 2, 2, 1; 0, 3, 1; 2, 1, 1 / 2, 2, 0 / 2, 10, 0 / 3, 2, 0 / 3, 4, 2 / 3, 6, 0 / 3, 7, 0 / 3, 8, 0 / 3, 9, 1 ;
0, 0; 1.294006, 1.340236, -2.242975 / 1.294838, 1.340818, -2.241859 / 1.293174, 1.339654, -2.244091; 1, 3, 1, 0; 0.388654517100; 1, 0, 4; 0, 4, 1; 2, 2, 2 / 2, 6, 0 / 2, 7, 0 / 3, 1, 2 / 3, 2, 3 / 3, 4, 0 / 3, 7, 0 / 3, 8, 0 / 3, 10, 3 ;
0, 0; 1.341880, 1.318340, -2.250204 / 1.342549, 1.319337, -2.249958 / 1.341210, 1.317343, -2.250451; 1, 3, 1, 0; 0.389192954460; 2, 3, 1; 0, 4, 1; 2, 1, 1 / 2, 2, 2 / 2, 5, 0 / 2, 7, 1 / 2, 8, 0 / 2, 9, 0 / 3, 1, 0 / 3, 4, 0 / 3, 10, 1 ;
0, 0; 1.624958, 1.190231, -2.306567 / 1.625189, 1.190478, -2.305966 / 1.624727, 1.189984, -2.307167; 1, 3, 1, 0; 0.414679328006; 2, 3, 1; 0, 4, 1; 2, 2, 0 / 2, 4, 1 / 2, 8, 0 / 3, 1, 1 / 3, 8, 1 / 3, 9, 2 ;
0, 0; 0.194178, 1.828911, -2.024479 / 0.194746, 1.829836, -2.024110 / 0.193611, 1.827986, -2.024849; 1, 3, 1, 0; 0.734958635058; 2, 2, 2; 0, 4, 1; 2, 3, 1 / 2, 4, 3 / 2, 5, 1 / 3, 1, 2 / 3, 8, 0 / 3, 9, 0 ;
0, 0; 2.000085, 1.003305, -2.377775 / 2.000895, 1.003935, -2.377166 / 1.999276, 1.002675, -2.378384; 1, 3, 1, 0; 0.413171834766; 2, 2, 1; 0, 3, 1; 2, 1, 1 / 2, 2, 0 / 2, 4, 0 / 2, 5, 0 / 2, 8, 0 / 2, 9, 2 / 2, 10, 0 / 3, 1, 0 / 3, 4, 0 / 3, 5, 1 / 3, 6, 0 ;
0, 0; 0.247729, 1.803309, -2.035118 / 0.248024, 1.803989, -2.034687 / 0.247434, 1.802628, -2.035549; 1, 3, 1, 0; 0.734193409817; 1, 0, 3; 0, 3, 1; 2, 4, 2 / 2, 7, 0 / 3, 1, 3 / 3, 2, 2 ;
0, 0; 0.184507, 1.838199, -2.023799 / 0.185041, 1.838278, -2.022805 / 0.183972, 1.838119, -2.024792; 1, 3, 1, 0; 0.734964635291; 2, 1, 2; 0, 3, 1; 2, 5, 0 / 2, 6, 0 / 2, 7, 2 / 3, 1, 1 / 3, 2, 2 ;
0, 0; 0.164632, 1.843216, -2.018871 / 0.165225, 1.843543, -2.018585 / 0.164038, 1.842888, -2.019156; 1, 3, 1, 0; 0.734978807771; 2, 2, 1; 0, 3, 1; 2, 6, 1 / 2, 7, 1 / 3, 1, 3 / 3, 8, 0 / 3, 9, 0 / 3, 10, 0 ;
0, 0; 0.749884, 1.572019, -2.132187 / 0.750378, 1.572220, -2.131995 / 0.749390, 1.571817, -2.132379; 1, 3, 1, 0; 0.737072244587; 2, 2, 1; 0, 3, 1; 2, 1, 1 / 2, 2, 1 / 3, 5, 2 ;
0, 0; 0.026063, 1.907185, -1.990841 / 0.026400, 1.907347, -1.990504 / 0.025727, 1.907022, -1.991177; 1, 3, 1, 0; 0.772839936008; 2, 1, 2; 0, 3, 1; 2, 5, 1 / 2, 6, 0 / 2, 7, 0 / 3, 1, 2 / 3, 2, 2 ;
0, 0; 0.061198, 1.916820, -1.993251 / 0.061863, 1.917248, -1.992817 / 0.060534, 1.916393, -1.993685; 1, 3, 1, 0; 0.773249676616; 0, 3, 0; 0, 3, 1; 2, 1, 1 / 2, 2, 0 / 3, 5, 1 / 3, 6, 1 / 3, 7, 0 ;
0, 0; -0.354303, 2.100072, -1.945526 / -0.353862, 2.100173, -1.945062 / -0.354744, 2.099971, -1.945990; 1, 3, 1, 0; 0.776982551369; 0, 3, 0; 0, 3, 1; 2, 3, 1 / 2, 4, 1 / 3, 1, 1 / 3, 4, 0 ;
0, 0; 1.064214, 1.436675, -2.193424 / 1.064611, 1.436754, -2.193304 / 1.063816, 1.436597, -2.193544; 1, 3, 1, 0; 0.387818735720; 1, 0, 2; 0, 2, 1; 2, 1, 0 / 2, 3, 2 / 2, 6, 0 / 3, 1, 2 / 3, 7, 0 ;
0, 0; 1.304561, 1.335951, -2.245843 / 1.305104, 1.336028, -2.245580 / 1.304018, 1.335873, -2.246105; 1, 3, 1, 0; 0.388653880406; 0, 2, 0; 0, 2, 1; 2, 1, 1 / 2, 7, 0 / 2, 8, 0 / 3, 1, 1 ;
0, 0; 2.054829, 0.979590, -2.386049 / 2.055347, 0.979823, -2.385967 / 2.054311, 0.979357, -2.386130; 1, 3, 1, 0; 0.412397711932; 2, 1, 1; 0, 2, 1; 2, 2, 2 / 2, 4, 0 / 2, 5, 0 / 2, 7, 0 / 2, 10, 0 / 3, 1, 1 / 3, 2, 0 / 3, 7, 0 ;
